GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
31,486.1976,1405.3968,-1071.9318,0.0,0.0,0.0,-1294.1551,-15964.9519,606.6354,11588.6019,-2007.987,58.84597727999999,46.2005,-4244.207100000001,-1949.1410227200001,-6147.147622720002
32,486.896,1421.3377,-1064.1449,0.0,0.0,0.0,-1245.2939,-15987.7643,609.9585,11552.2962,-1991.6973,57.74798592,49.827,-4226.7147,-1933.94931408,-6110.83701408
33,522.8769,1431.0925,-1075.6747,0.0,0.0,0.0,-1284.7035,-15925.1808,594.716,11563.861,-2004.5203,58.885490159999996,38.4668,-4173.012599999998,-1945.63480984,-6080.180609839998
34,538.4006,1432.4151,-1098.6839,0.0,0.0,0.0,-1263.0853,-16000.5473,589.9845,11545.2216,-1967.2991,56.30883696,63.9764,-4256.2947,-1910.99026304,-6103.308563040001
35,487.4345,1438.5738,-1109.1236,0.0,0.0,0.0,-1251.3465,-15896.5414,587.3662,11519.9604,-1982.2556,57.3510852,48.6029,-4223.676599999999,-1924.9045148,-6099.9782147999995
36,505.1007,1439.723,-1102.965,0.0,0.0,0.0,-1281.4838,-15997.7715,592.9382,11527.2537,-1912.1235,57.23150904,42.3912,-4317.2047,-1854.89199096,-6129.70549096
37,477.2521,1389.4527,-1082.408,0.0,0.0,0.0,-1243.6096,-16020.6012,612.7246,11565.4056,-1968.2278,58.90013568,57.0656,-4301.783800000001,-1909.32766432,-6154.045864320001
38,504.5754,1444.4941,-1110.0219,0.0,0.0,0.0,-1258.671,-16034.997,599.3729,11481.4048,-1859.8362,56.5310268,37.7017,-4373.842699999999,-1803.3051732,-6139.446173199999
39,479.8987,1385.7411,-1107.4666,0.0,0.0,0.0,-1261.0268,-15886.5462,611.6846,11604.2685,-2088.4163,58.28251536,43.6391,-4173.446699999999,-2030.13378464,-6159.941384639998
40,529.4899,1434.1533,-1092.8965,0.0,0.0,0.0,-1275.8253,-15897.5691,599.9872,11546.3799,-2047.2155,58.07918736,42.3425,-4156.280600000002,-1989.13631264,-6103.074412640002
41,498.4675,1398.2112,-1069.3027,0.0,0.0,0.0,-1235.3874,-16051.379,625.3153,11595.9895,-1938.4819,58.34564784,42.3092,-4238.0856,-1880.13625216,-6075.91265216
42,526.5047,1403.8218,-1098.7824,0.0,0.0,0.0,-1250.2933,-15983.1086,613.5465,11560.1724,-1939.9114,58.53897288,41.3714,-4228.138899999998,-1881.3724271199999,-6068.139927119998
43,506.3565,1426.1606,-1103.2586,0.0,0.0,0.0,-1276.1905,-16021.7508,596.8545,11566.3402,-1913.4815,58.29952464,42.9051,-4305.488099999999,-1855.18197536,-6117.764975359999
44,477.9187,1385.2282,-1112.8017,0.0,0.0,0.0,-1240.141,-15869.4276,594.9356,11605.4592,-2106.6469,59.14373328,41.4714,-4158.828600000001,-2047.50316672,-6164.8603667200005
45,517.8452,1502.6912,-1092.5715,0.0,0.0,0.0,-1267.2046,-15998.8883,601.5613,11490.7384,-1901.0825,57.3701292,48.6916,-4245.828300000001,-1843.7123708,-6040.849070800002
46,522.352,1420.9704,-1080.0282,0.0,0.0,0.0,-1243.6932,-15934.0284,610.0746,11581.2276,-2028.2858,58.753203119999995,45.4918,-4123.125199999999,-1969.53259688,-6047.165996879999
47,459.0803,1435.3216,-1092.7055,0.0,0.0,0.0,-1286.3237,-15880.571,599.9696,11524.1863,-2012.7028,58.877652239999996,45.9564,-4241.0424,-1953.82514776,-6148.91114776
48,498.3614,1401.427,-1111.7631,0.0,0.0,0.0,-1264.2513,-15868.7405,603.2097,11575.146,-2075.4685,59.57975232,35.9682,-4166.6108,-2015.88874768,-6146.53134768
49,468.5416,1379.3868,-1082.1209,0.0,0.0,0.0,-1277.6663,-15904.326,621.0743,11541.9262,-1975.7866,57.8520756,49.3871,-4253.184299999999,-1917.9345243999999,-6121.731724399999
50,525.839,1411.6475,-1068.5721,0.0,0.0,0.0,-1244.917,-15702.5146,598.0588,11506.8857,-2144.4196,57.66936552,36.1478,-3973.572699999999,-2086.75023448,-6024.1751344799995
51,521.1417,1377.6589,-1136.9281,0.0,0.0,0.0,-1238.2563,-15903.546,590.432,11563.6734,-2036.5857,59.73471648,54.8503,-4225.8243999999995,-1976.85098352,-6147.825083519999
52,521.7567,1405.4403,-1106.935,0.0,0.0,0.0,-1274.0766,-15896.4142,606.2201,11558.0854,-2012.3927,58.27443624,46.5292,-4185.923299999999,-1954.11826376,-6093.512363759999
53,513.2462,1385.9566,-1088.5798,0.0,0.0,0.0,-1272.163,-16023.4057,606.5436,11567.0881,-1939.6691,58.06226016,51.8256,-4311.3139999999985,-1881.60683984,-6141.095239839999
54,504.2825,1372.2062,-1107.5086,0.0,0.0,0.0,-1260.9448,-15911.3761,602.0481,11554.0246,-1997.7483,58.455996479999996,51.336,-4247.2680999999975,-1939.29230352,-6135.224403519997
55,485.9204,1396.823,-1077.103,0.0,0.0,0.0,-1274.6416,-15856.7328,614.1857,11445.0915,-1947.297,57.91070592,42.9166,-4266.4568,-1889.38629408,-6112.926494080001
56,510.3599,1446.8078,-1087.244,0.0,0.0,0.0,-1292.7715,-15992.8935,602.2446,11482.8852,-1846.747,56.91645144,48.733,-4330.611500000001,-1789.8305485600001,-6071.709048560001
57,508.6608,1422.8849,-1088.4943,0.0,0.0,0.0,-1235.7666,-15875.6013,611.046,11506.6337,-2033.5272,58.13061336,43.7884,-4150.6368,-1975.39658664,-6082.24498664
58,524.6126,1400.9124,-1079.7667,0.0,0.0,0.0,-1257.2109,-15952.2069,608.0513,11528.2893,-1964.7519,59.7854052,52.3362,-4227.3189,-1904.9664948,-6079.9491948
59,507.1382,1390.413,-1077.5072,0.0,0.0,0.0,-1265.6353,-15839.1495,592.6146,11556.0587,-2095.0041,59.691589920000006,44.5782,-4136.067499999999,-2035.31251008,-6126.801810079999
60,541.1262,1384.9759,-1098.664,0.0,0.0,0.0,-1243.0102,-15912.4615,570.3269,11566.9042,-2046.1006,59.7258252,56.8432,-4190.802499999998,-1986.3747748,-6120.334074799997
61,515.2411,1396.4997,-1095.5328,0.0,0.0,0.0,-1236.334,-15900.8815,597.2713,11556.9209,-2058.7076,59.1056424,44.9683,-4166.8153,-1999.6019576,-6121.4489576
62,474.6358,1434.5772,-1062.0815,0.0,0.0,0.0,-1293.6082,-15861.8325,608.4826,11597.8633,-2045.4789,56.68857216,41.0494,-4101.963299999999,-1988.7903278400001,-6049.7042278399995
63,519.7781,1376.9829,-1100.4752,0.0,0.0,0.0,-1276.6343,-15903.7554,614.2872,11579.8826,-2003.79,56.7230328,40.2633,-4189.9341,-1947.0669672,-6096.737767200001
64,523.8938,1430.4184,-1086.7999,0.0,0.0,0.0,-1278.2004,-15923.7843,600.0268,11606.5056,-2030.5348,57.93110424,53.4668,-4127.939999999999,-1972.60369576,-6047.076895759998
65,516.7833,1431.8489,-1036.6533,0.0,0.0,0.0,-1270.2018,-16013.3552,604.457,11535.3427,-1883.246,56.91237192,47.5045,-4231.778400000001,-1826.3336280800002,-6010.607528080001
66,493.3212,1375.3816,-1085.3294,0.0,0.0,0.0,-1285.9366,-16064.4814,595.757,11589.6763,-1897.4587,56.299754879999995,52.3725,-4381.611300000002,-1841.15894512,-6170.397745120002
67,515.7783,1401.3509,-1094.7323,0.0,0.0,0.0,-1260.6796,-15915.971,599.0156,11553.6229,-1989.0962,57.05908128,43.9709,-4201.615199999998,-1932.0371187199999,-6089.681418719998
68,496.5498,1420.0943,-1072.6526,0.0,0.0,0.0,-1273.5976,-15976.4233,608.379,11582.6845,-1950.7882,57.40108488,41.3362,-4214.965899999999,-1893.3871151199999,-6067.01681512
69,518.004,1434.3244,-1087.2947,0.0,0.0,0.0,-1233.1725,-15978.4787,598.1884,11461.8302,-1862.0233,56.11510944,45.7661,-4286.598900000001,-1805.90819056,-6046.740990560001
70,519.5027,1488.3998,-1108.0842,0.0,0.0,0.0,-1264.7581,-15876.2846,598.2206,11565.716,-2047.1122,56.965235039999996,51.899,-4077.2878,-1990.14696496,-6015.535764959999
71,532.1809,1433.3254,-1102.5889,0.0,0.0,0.0,-1275.7758,-15865.1644,600.1058,11513.434,-2007.6944,57.79770264,53.4152,-4164.483,-1949.8966973600002,-6060.96449736
72,520.7006,1417.4332,-1091.708,0.0,0.0,0.0,-1251.8135,-15925.9723,607.4803,11521.6781,-1963.0518,58.44475512,49.2304,-4202.2016,-1904.6070448799999,-6057.57824488
73,511.1581,1435.8054,-1083.9405,0.0,0.0,0.0,-1261.9165,-16006.6216,621.6521,11619.8958,-1951.5357,57.49050168,41.8349,-4163.967200000001,-1894.0451983199998,-6016.177498320001
74,491.6424,1384.3854,-1104.4806,0.0,0.0,0.0,-1255.2425,-15927.6513,594.823,11546.7851,-1983.8206,56.73354336,45.3503,-4269.738500000001,-1927.08705664,-6151.475256640001
75,550.7478,1426.9207,-1098.7309,0.0,0.0,0.0,-1286.6723,-16061.0301,580.0746,11579.8739,-1881.6189,57.548420639999996,66.1438,-4308.8163,-1824.07047936,-6066.74297936
76,511.7384,1368.4108,-1090.115,0.0,0.0,0.0,-1276.7074,-15982.083,592.5032,11543.3842,-1914.6388,58.348051919999996,40.4772,-4332.8688,-1856.29074808,-6148.682348079999
77,514.764,1376.3381,-1091.2952,0.0,0.0,0.0,-1285.6453,-15893.8316,609.0168,11510.0315,-1965.4147,56.44628568,57.1142,-4260.6217000000015,-1908.96841432,-6112.475914320002
78,502.6292,1424.7885,-1071.2237,0.0,0.0,0.0,-1282.4546,-15995.4914,598.2098,11559.8155,-1920.976,56.98461888,53.224,-4263.726699999999,-1863.9913811200001,-6074.4940811199995
79,546.7954,1427.2778,-1084.0087,0.0,0.0,0.0,-1259.9709,-15976.4889,603.6685,11492.7432,-1876.7846,56.15991216,48.1685,-4249.9836,-1820.62468784,-6022.43978784
80,517.1076,1492.5805,-1101.6506,0.0,0.0,0.0,-1304.4109,-15877.327,593.8861,11535.4113,-2008.3639,57.66681168,46.9187,-4144.403,-1950.6970883200001,-6048.18138832
81,515.3378,1418.099,-1088.4993,0.0,0.0,0.0,-1288.6002,-15813.7817,597.3697,11519.6616,-2045.7025,56.72982312,38.3364,-4140.413100000002,-1988.97267688,-6091.049376880002
82,528.1579,1390.7938,-1097.9424,0.0,0.0,0.0,-1308.4474,-15911.4769,592.4875,11517.9698,-1924.3375,55.0399788,42.7662,-4288.457700000001,-1869.2975212000001,-6114.9890212
83,514.5261,1393.9102,-1119.7478,0.0,0.0,0.0,-1294.2196,-15902.0131,593.1916,11531.2969,-1988.2741,56.3485788,45.8472,-4283.055700000001,-1931.9255212,-6169.134021200001
84,497.2855,1452.8766,-1066.3138,0.0,0.0,0.0,-1294.1586,-16016.4128,598.6519,11554.2973,-1927.4608,55.918323359999995,51.4972,-4273.773899999998,-1871.5424766400001,-6093.819176639999
85,515.8725,1381.8664,-1057.3374,0.0,0.0,0.0,-1303.0228,-15880.4219,583.2658,11556.4951,-2010.7591,57.74232024,48.5328,-4203.282300000001,-1953.01677976,-6107.766279760001
86,503.666,1418.2417,-1075.061,0.0,0.0,0.0,-1293.2619,-16105.0696,624.8918,11574.367,-1829.2215,56.85426288,42.0439,-4352.226000000002,-1772.36723712,-6082.549337120003
87,542.1858,1393.6609,-1070.0209,0.0,0.0,0.0,-1267.1479,-16012.2991,611.2867,11551.8245,-1892.9607,56.24963424,47.8069,-4250.51,-1836.71106576,-6039.41416576
88,538.6632,1437.3309,-1083.3367,0.0,0.0,0.0,-1276.6016,-16046.9499,595.9577,11498.9599,-1863.1096,54.71600616,45.2927,-4335.976500000001,-1808.39359384,-6099.077393840001
89,543.9156,1393.8854,-1080.3144,0.0,0.0,0.0,-1285.7258,-15987.9751,618.2484,11548.8151,-1945.2371,56.75731992,43.0131,-4249.150799999999,-1888.47978008,-6094.61748008
90,495.5589,1419.1186,-1083.0707,0.0,0.0,0.0,-1254.991,-15990.5376,599.4712,11567.1225,-1971.672,58.116777119999995,53.3675,-4247.328100000001,-1913.55522288,-6107.515822880001
91,487.2477,1462.8042,-1076.7063,0.0,0.0,0.0,-1270.1318,-16015.6998,585.2822,11509.1724,-1882.3873,56.19420144,48.505,-4318.031400000002,-1826.1930985600002,-6095.719498560002
92,490.4589,1394.636,-1079.3982,0.0,0.0,0.0,-1300.9673,-15881.1268,610.8983,11539.3516,-1960.0146,57.49992864,44.8473,-4226.147499999999,-1902.51467136,-6083.814871359999
93,499.4052,1381.0359,-1110.5872,0.0,0.0,0.0,-1271.6321,-15963.1359,599.8191,11508.9581,-1915.7684,58.22524224,46.1092,-4356.136899999998,-1857.54315776,-6167.570857759998
94,466.6875,1463.6349,-1086.5524,0.0,0.0,0.0,-1285.8583,-15937.754,600.3737,11561.3316,-1973.6405,57.001401359999996,48.2404,-4218.137000000001,-1916.63909864,-6086.53569864
95,525.4017,1432.2527,-1114.3552,0.0,0.0,0.0,-1267.854,-16003.9583,590.8339,11466.6584,-1825.7064,55.53286272,46.6127,-4371.0208,-1770.1735372800001,-6094.581637280001
96,462.3688,1444.0812,-1094.7187,0.0,0.0,0.0,-1277.3711,-15893.6265,609.8016,11541.3624,-1982.4669,58.34186423999999,42.3902,-4208.102299999999,-1924.12503576,-6089.837135759998
97,502.411,1485.9608,-1093.3336,0.0,0.0,0.0,-1305.12,-15916.6126,605.7269,11534.2632,-1955.9653,57.85020792,53.2517,-4186.704300000001,-1898.11509208,-6031.5676920800015
98,518.6299,1414.5012,-1077.9723,0.0,0.0,0.0,-1247.9081,-15883.8799,588.6035,11518.2674,-2037.7662,57.450854879999994,47.3978,-4169.7582999999995,-1980.31534512,-6102.675845119999
99,493.118,1400.7087,-1056.2109,0.0,0.0,0.0,-1292.5376,-15967.1193,613.5253,11572.6632,-1993.4868,56.42577144,40.9018,-4235.852600000002,-1937.0610285599998,-6132.011828560002
100,518.1443,1400.0224,-1076.8075,0.0,0.0,0.0,-1269.7981,-15961.169,607.5147,11536.8627,-1954.1047,57.4551576,50.2439,-4245.2305,-1896.6495424000002,-6091.636142399999
101,504.2578,1422.4244,-1071.2338,0.0,0.0,0.0,-1273.0532,-15950.0388,599.4479,11509.5659,-1926.6687,55.18165536,54.5256,-4258.629800000001,-1871.48704464,-6075.591244640001
102,531.5007,1393.3187,-1072.7377,0.0,0.0,0.0,-1305.8228,-16093.5101,610.5901,11584.2602,-1849.9302,55.44324504,53.6183,-4352.400899999999,-1794.48695496,-6093.2695549599985
103,507.1673,1425.4885,-1059.801,0.0,0.0,0.0,-1271.4455,-16013.3178,602.1335,11534.3597,-1895.7096,57.46309992,52.3529,-4275.415300000001,-1838.2465000799998,-6061.308900080001
104,494.2163,1447.0909,-1076.0977,0.0,0.0,0.0,-1292.1417,-16061.2902,612.0315,11574.4665,-1910.4214,56.37394512,42.2652,-4301.724399999997,-1854.04745488,-6113.506654879998
105,490.5874,1420.7227,-1101.7044,0.0,0.0,0.0,-1275.2632,-15951.8765,581.8322,11539.9401,-1969.1755,57.79816272,44.0496,-4295.761699999999,-1911.3773372800001,-6163.089437279999
106,516.6661,1402.5646,-1051.0556,0.0,0.0,0.0,-1292.2332,-15973.0182,594.4869,11632.2614,-2034.6903,57.3480756,41.242,-4170.328000000001,-1977.3422244,-6106.428224400001
107,488.8819,1387.5186,-1109.6376,0.0,0.0,0.0,-1266.555,-16041.4215,601.5351,11571.1728,-1902.9046,57.750772319999996,42.4991,-4368.505699999998,-1845.1538276800002,-6171.160427679998
108,495.1935,1413.4299,-1051.8674,0.0,0.0,0.0,-1259.0105,-16013.8526,603.7451,11578.6646,-1953.9541,58.16586672,54.9351,-4233.697400000001,-1895.78823328,-6074.550533280001
109,514.1954,1422.4909,-1082.5179,0.0,0.0,0.0,-1279.197,-15977.2927,597.613,11577.1783,-1951.5747,58.196074319999994,47.2417,-4227.530000000001,-1893.37862568,-6073.666925680001
110,511.3148,1396.1845,-1077.1287,0.0,0.0,0.0,-1292.4981,-16087.2674,608.7535,11625.3943,-1868.0427,55.43819064,42.1942,-4315.247099999999,-1812.60450936,-6085.657409359998
111,473.6566,1402.9188,-1086.8528,0.0,0.0,0.0,-1267.5105,-16010.3201,607.0135,11581.5315,-1955.3862,55.654257599999994,50.3638,-4299.563,-1899.7319424,-6148.9311424
112,511.6724,1450.5567,-1064.0257,0.0,0.0,0.0,-1291.5719,-15998.0935,604.6624,11547.2486,-1932.679,55.5230916,56.1227,-4239.5509999999995,-1877.1559084,-6060.5842084
113,518.1123,1429.3081,-1081.7291,0.0,0.0,0.0,-1292.6578,-16010.6689,611.9384,11518.7617,-1898.2794,54.14030352,54.7419,-4306.935300000001,-1844.1390964799998,-6096.33249648
114,518.7705,1416.3809,-1089.7471,0.0,0.0,0.0,-1320.1154,-16088.8277,615.3916,11556.3903,-1863.9066,53.4053016,49.2701,-4391.7568999999985,-1810.5012984,-6152.988098399999
115,502.607,1405.4701,-1091.2651,0.0,0.0,0.0,-1285.311,-15952.4317,596.9829,11516.7533,-1947.7767,53.607220559999995,43.7802,-4307.194500000001,-1894.1694794399998,-6157.583779440001
116,508.525,1392.5534,-1087.8701,0.0,0.0,0.0,-1316.3717,-15989.8288,593.2356,11552.2115,-1911.5716,54.47718216,43.6635,-4347.545100000001,-1857.09441784,-6160.976017840002
117,516.4962,1423.1594,-1092.5292,0.0,0.0,0.0,-1288.961,-15896.7546,587.631,11557.9629,-2020.8005,56.22826248,48.612,-4192.9953000000005,-1964.57223752,-6108.955537520001
118,518.5741,1386.8117,-1075.0617,0.0,0.0,0.0,-1266.8768,-15882.3061,603.6699,11562.193,-2039.784,58.1772312,41.6815,-4152.9959,-1981.6067688,-6092.9211688
119,514.504,1368.5742,-1086.1957,0.0,0.0,0.0,-1274.6772,-15843.8787,609.0297,11610.2332,-2086.7699,58.35763728,45.0165,-4102.4105,-2028.4122627199997,-6085.80626272
120,517.4378,1378.754,-1065.525,0.0,0.0,0.0,-1290.1474,-16025.0263,601.9081,11620.5471,-1947.3661,56.423115360000004,46.1963,-4262.0517,-1890.9429846399998,-6106.79838464
121,500.251,1386.0525,-1083.6636,0.0,0.0,0.0,-1302.6104,-15933.8324,593.8098,11594.9569,-1974.9191,56.37222576,39.6481,-4245.0362000000005,-1918.54687424,-6123.93497424
122,490.2801,1420.7835,-1099.5084,0.0,0.0,0.0,-1288.2041,-15907.5839,605.1786,11574.335,-2001.2907,57.623049359999996,45.5147,-4204.7192,-1943.66765064,-6102.87215064
123,512.0644,1441.523,-1101.4566,0.0,0.0,0.0,-1276.2758,-15877.3094,585.7173,11492.1613,-1982.2598,57.27158136,38.1514,-4223.5758000000005,-1924.98821864,-6110.412618640001
124,516.0569,1413.2167,-1072.3083,0.0,0.0,0.0,-1274.9141,-15958.2744,614.62,11598.1058,-2026.6996,57.23307936,51.6421,-4163.4974,-1969.46652064,-6081.32182064
125,504.1274,1417.2551,-1071.4249,0.0,0.0,0.0,-1263.8222,-15796.2949,608.4559,11569.1967,-2112.929,59.24358791999999,47.1496,-4032.5069000000003,-2053.68541208,-6039.0427120800005
126,521.4407,1402.2544,-1102.9357,0.0,0.0,0.0,-1294.7739,-16020.1468,590.6482,11602.7065,-1963.0687,56.43681912,44.5353,-4300.8066,-1906.63188088,-6162.90318088
127,519.8595,1380.5395,-1102.6695,0.0,0.0,0.0,-1270.5491,-15959.1225,612.343,11555.6389,-1968.9504,57.837294719999996,57.636,-4263.9601999999995,-1911.11310528,-6117.437305279999
128,494.4219,1425.0269,-1088.6137,0.0,0.0,0.0,-1282.916,-15984.0572,601.9366,11591.3953,-1992.3023,57.11469408,41.8371,-4242.806199999999,-1935.1876059200001,-6136.15670592
129,520.7057,1433.5366,-1092.4702,0.0,0.0,0.0,-1280.4255,-15963.1595,597.5433,11517.3485,-1937.4054,58.1973876,47.5024,-4266.921100000001,-1879.2080124000001,-6098.6267124000005
130,488.2743,1360.305,-1088.9367,0.0,0.0,0.0,-1266.6588,-16053.0651,613.1424,11580.9093,-1874.6295,56.4280416,47.0455,-4366.029599999998,-1818.2014584,-6137.185558399998
131,572.2223,1417.6074,-1087.0137,0.0,0.0,0.0,-1283.3701,-16061.7047,596.2935,11563.2158,-1869.9569,54.689357519999994,61.9885,-4282.7495,-1815.26754248,-6036.0285424799995
132,512.4181,1434.4574,-1066.3379,0.0,0.0,0.0,-1307.5479,-15997.8704,593.6984,11591.4242,-1928.0674,56.944588319999994,40.0879,-4239.758100000003,-1871.1228116799998,-6070.793011680003
133,554.9919,1337.6124,-1080.4921,0.0,0.0,0.0,-1290.0156,-15882.5243,589.6837,11551.2597,-2019.9149,57.225495599999995,40.9348,-4219.484299999998,-1962.6894044,-6141.238904399998
134,507.7206,1441.2812,-1107.9103,0.0,0.0,0.0,-1306.083,-16119.5824,598.6014,11598.4176,-1829.2989,55.22248872,44.2672,-4387.554899999999,-1774.07641128,-6117.364111279999
135,505.0885,1421.5627,-1119.8192,0.0,0.0,0.0,-1311.6945,-16120.2373,613.6618,11601.7837,-1817.9552,56.343485519999994,54.5973,-4409.6543,-1761.61171448,-6116.66871448
136,530.1827,1403.4396,-1096.8988,0.0,0.0,0.0,-1290.6676,-15931.9712,596.6097,11490.4767,-1931.5927,55.7897508,40.5509,-4298.8289,-1875.8029491999998,-6134.080949200001
