POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
27,542.6403,1439.0553,-1080.5146,0.0,0.0,0.0,-1277.798,-16261.417,596.4911,11775.2043,-1794.5057,1227.0614,-735.2158,-4266.338600000001,-1302.6600999999998,-5568.9987
28,509.2311,1427.9414,-1101.8851,0.0,0.0,0.0,-1273.2853,-16358.8797,606.2798,11806.6787,-1732.7186,1221.6843,-727.8962,-4383.919099999999,-1238.9305,-5622.8496
29,519.089,1421.6262,-1095.8881,0.0,0.0,0.0,-1284.2776,-16349.5212,611.717,11842.4997,-1788.4922,1213.907,-719.2213,-4334.754999999997,-1293.8065000000001,-5628.561499999997
30,536.018,1417.9217,-1089.9395,0.0,0.0,0.0,-1303.8527,-16063.4039,603.6104,11772.7814,-1996.5486,1229.5987,-735.2035,-4126.864599999999,-1502.1534000000001,-5629.017999999998
31,545.7865,1492.6508,-1100.2724,0.0,0.0,0.0,-1262.4453,-16152.7431,596.6684,11792.6806,-1970.3539,1236.6059,-742.7656,-4087.674499999999,-1476.5136,-5564.1880999999985
32,532.3267,1388.8217,-1087.5219,0.0,0.0,0.0,-1270.8384,-16162.0888,625.1212,11833.5488,-1953.2996,1227.7465,-734.0971,-4140.6307,-1459.6502,-5600.2809
33,515.1203,1388.4574,-1088.197,0.0,0.0,0.0,-1296.4057,-16041.3511,618.8175,11797.5656,-2024.9372,1236.7287,-742.8306,-4105.993000000002,-1531.0391000000002,-5637.032100000003
34,502.3508,1402.9614,-1060.2681,0.0,0.0,0.0,-1289.2986,-16140.8105,603.5603,11772.0921,-1971.5088,1232.8779,-746.8942,-4209.4126,-1485.5251,-5694.9376999999995
35,504.2527,1454.8321,-1094.83,0.0,0.0,0.0,-1300.0243,-16200.5715,610.1533,11864.0104,-1962.783,1231.0682,-740.2798,-4162.177300000001,-1471.9946,-5634.171900000001
36,516.8033,1428.6435,-1085.6298,0.0,0.0,0.0,-1286.5294,-16219.1564,615.5635,11840.887,-1965.7006,1230.6571,-741.5685,-4189.418299999999,-1476.612,-5666.030299999999
37,494.6503,1398.0502,-1086.1368,0.0,0.0,0.0,-1285.2277,-16120.0895,630.9657,11819.7255,-1977.3442,1228.3466,-734.7085,-4148.062299999998,-1483.7060999999999,-5631.768399999997
38,514.4338,1346.4657,-1066.713,0.0,0.0,0.0,-1280.3968,-16176.2499,605.0411,11923.281,-2031.4064,1233.0055,-736.0347,-4134.1381,-1534.4356000000002,-5668.5737
39,549.5738,1413.3504,-1069.07,0.0,0.0,0.0,-1267.197,-16180.2251,608.2126,11840.5524,-1970.7136,1229.783,-738.923,-4104.802899999997,-1479.8536000000001,-5584.656499999996
40,499.2804,1447.696,-1085.403,0.0,0.0,0.0,-1263.6389,-16209.6806,607.7382,11841.5484,-1944.1572,1232.1644,-744.9428,-4162.459500000001,-1456.9356000000002,-5619.395100000001
41,532.1585,1402.6652,-1099.4157,0.0,0.0,0.0,-1276.1386,-16171.1076,602.2576,11874.3,-2008.4987,1223.9996,-734.3579,-4135.280599999998,-1518.857,-5654.137599999998
42,537.9686,1408.2347,-1059.5355,0.0,0.0,0.0,-1283.6751,-16210.2259,602.9094,11847.3989,-1935.2134,1222.7144,-733.2282,-4156.924899999998,-1445.7272,-5602.652099999999
43,504.7664,1418.1635,-1085.8216,0.0,0.0,0.0,-1282.6718,-16173.5975,611.9411,11796.5687,-1950.2143,1226.7165,-733.5124,-4210.6512,-1457.0102000000002,-5667.661399999999
44,538.1801,1436.6556,-1100.9835,0.0,0.0,0.0,-1281.1985,-16103.796,589.1823,11784.6242,-1970.8985,1232.8684,-741.2777,-4137.335799999999,-1479.3078,-5616.6435999999985
45,500.5844,1385.7929,-1106.5078,0.0,0.0,0.0,-1279.1046,-16006.7631,618.9472,11797.5099,-2095.367,1229.7216,-745.2104,-4089.541100000002,-1610.8558000000003,-5700.3969000000025
46,513.185,1410.5795,-1099.0971,0.0,0.0,0.0,-1291.3235,-16148.6023,623.9157,11850.5101,-2015.8786,1223.6736,-742.452,-4140.8326,-1534.657,-5675.4896
47,521.7518,1421.4753,-1090.7053,0.0,0.0,0.0,-1311.7588,-16193.8694,602.1918,11852.3348,-1932.4462,1220.2102,-729.7022,-4198.5797999999995,-1441.9382,-5640.518
48,474.3703,1440.179,-1069.618,0.0,0.0,0.0,-1271.8593,-16248.5448,615.4965,11832.8193,-1911.8399,1214.4079,-726.437,-4227.157000000001,-1423.8690000000001,-5651.026000000001
49,502.6749,1414.2662,-1094.3701,0.0,0.0,0.0,-1275.5606,-16255.3217,605.0966,11880.9214,-1944.3711,1234.9994,-741.2932,-4222.293300000001,-1450.6649000000002,-5672.958200000002
50,494.4485,1454.7505,-1054.3994,0.0,0.0,0.0,-1280.7055,-16364.399,605.5504,11875.4847,-1855.1862,1229.5231,-737.1182,-4269.269799999998,-1362.7813,-5632.051099999998
51,520.4631,1442.2426,-1098.211,0.0,0.0,0.0,-1288.8902,-16246.5989,599.1276,11873.9288,-1903.2023,1226.9622,-735.9207,-4197.938,-1412.1608,-5610.0988
52,503.1519,1420.3374,-1100.6343,0.0,0.0,0.0,-1272.4768,-16208.2625,629.19,11894.8102,-1995.9835,1238.1415,-742.1867,-4133.884100000001,-1500.0287,-5633.912800000002
53,503.4164,1482.7961,-1085.967,0.0,0.0,0.0,-1293.8513,-16190.0168,607.028,11837.3326,-1942.5434,1221.2213,-732.1446,-4139.261999999999,-1453.4667,-5592.728699999999
54,551.3879,1418.2726,-1102.9779,0.0,0.0,0.0,-1274.7016,-16077.4998,599.1867,11835.4765,-2042.2885,1232.3723,-739.7222,-4050.855599999997,-1549.6384000000003,-5600.493999999998
55,506.7212,1456.5467,-1064.6301,0.0,0.0,0.0,-1256.0785,-16150.3215,617.6384,11816.2811,-2020.1739,1233.5914,-743.5243,-4073.842700000001,-1530.1068,-5603.949500000001
