POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
27,532.719,1422.121,-1105.0508,0.0,0.0,0.0,-1272.2417,-16112.1143,599.0776,11809.0721,-1999.7608,41.4038,0.0,-4126.417100000001,-1958.357,-6084.7741000000005
28,494.6581,1461.1799,-1097.1572,0.0,0.0,0.0,-1259.1686,-16007.8694,593.0264,11698.8028,-1973.0559,40.8282,0.0,-4116.527999999998,-1932.2277000000001,-6048.755699999999
29,544.6108,1422.5131,-1092.7721,0.0,0.0,0.0,-1261.4055,-16188.0275,605.7185,11771.0904,-1875.3002,40.0188,0.0,-4198.272300000002,-1835.2813999999998,-6033.553700000002
30,492.0091,1398.766,-1091.72,0.0,0.0,0.0,-1284.987,-16174.7927,609.6653,11848.2027,-1923.8026,40.0492,0.0,-4202.856600000001,-1883.7534,-6086.610000000001
31,551.5133,1425.1887,-1083.3228,0.0,0.0,0.0,-1286.5712,-16287.47,612.0011,11884.5692,-1890.5106,40.4879,0.0,-4184.091700000001,-1850.0227,-6034.1144
32,493.4358,1436.6249,-1100.0618,0.0,0.0,0.0,-1263.2446,-15986.5408,603.5839,11780.3,-2064.1521,41.2561,0.0,-4035.902600000003,-2022.8959999999997,-6058.798600000003
33,507.4068,1416.5973,-1099.8746,0.0,0.0,0.0,-1288.0026,-16106.0084,597.7113,11801.4495,-1997.1139,40.1683,0.0,-4170.720699999998,-1956.9456,-6127.666299999998
34,533.1393,1452.5263,-1081.446,0.0,0.0,0.0,-1269.3174,-16198.1174,600.315,11741.2359,-1875.1194,40.2921,0.0,-4221.664299999999,-1834.8273000000002,-6056.4915999999985
35,522.5351,1384.6011,-1072.5485,0.0,0.0,0.0,-1270.2256,-16033.0043,597.3936,11746.7663,-2003.3875,41.2904,0.0,-4124.482300000003,-1962.0971,-6086.579400000003
36,518.0582,1455.5509,-1116.8593,0.0,0.0,0.0,-1272.5614,-16057.4361,607.6172,11801.0493,-2016.8044,41.044,0.0,-4064.5811999999987,-1975.7604,-6040.341599999999
37,546.1889,1430.9965,-1064.5549,0.0,0.0,0.0,-1277.17,-16126.2211,609.7668,11748.8666,-1947.2298,40.6769,0.0,-4132.127200000003,-1906.5529000000001,-6038.680100000002
38,518.9815,1419.7912,-1113.944,0.0,0.0,0.0,-1278.3073,-15978.0264,624.2756,11764.806,-2046.6693,41.3638,0.0,-4042.4233999999997,-2005.3055,-6047.728899999999
39,486.463,1432.4196,-1084.2739,0.0,0.0,0.0,-1297.693,-16073.6768,606.0567,11703.7491,-1918.435,41.1873,0.0,-4226.9553,-1877.2477,-6104.2029999999995
40,515.8244,1444.0795,-1065.0168,0.0,0.0,0.0,-1279.3226,-16159.5031,608.6668,11817.2381,-1926.6749,39.8248,0.0,-4118.033700000002,-1886.8500999999999,-6004.883800000001
41,505.2219,1386.1558,-1099.1236,0.0,0.0,0.0,-1265.3006,-16067.7883,607.4129,11769.0998,-1998.273,41.1149,0.0,-4164.322100000001,-1957.1580999999999,-6121.480200000002
42,506.5793,1439.8669,-1097.4312,0.0,0.0,0.0,-1285.7462,-16091.1377,598.2483,11748.0406,-1935.1375,40.3775,0.0,-4181.580000000002,-1894.76,-6076.340000000002
43,496.6404,1407.9169,-1075.1725,0.0,0.0,0.0,-1266.072,-16170.6898,619.903,11798.8905,-1890.0052,39.6964,0.0,-4188.583500000001,-1850.3088,-6038.8923
44,525.4387,1395.9228,-1094.6274,0.0,0.0,0.0,-1300.1623,-16089.2613,610.7088,11804.7855,-1964.0581,40.3246,0.0,-4147.1952,-1923.7335,-6070.9287
45,510.7446,1404.5106,-1092.6178,0.0,0.0,0.0,-1260.9973,-16227.4079,611.2744,11793.3549,-1883.6652,40.7416,0.0,-4261.138500000001,-1842.9235999999999,-6104.0621
46,509.4466,1392.4362,-1065.91,0.0,0.0,0.0,-1285.6275,-16109.5892,595.0154,11791.6977,-1947.8478,41.2172,0.0,-4172.5308,-1906.6306,-6079.1614
