POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
31,528.3082,1411.1789,-1098.0337,0.0,0.0,0.0,-1259.4867,-16137.3743,602.0607,11726.8634,-1921.1732,40.9256,0.0,-4226.4834999999985,-1880.2476,-6106.731099999999
32,489.3326,1422.3516,-1127.5667,0.0,0.0,0.0,-1289.0006,-16135.3182,594.214,11782.6582,-1947.1662,40.3625,0.0,-4263.329100000001,-1906.8037,-6170.1328
33,512.3216,1421.9755,-1093.2629,0.0,0.0,0.0,-1254.9089,-16206.4106,629.3762,11763.3597,-1910.3939,40.8059,0.0,-4227.549399999998,-1869.588,-6097.137399999998
34,508.4002,1416.546,-1124.0508,0.0,0.0,0.0,-1263.844,-16191.4887,619.7366,11812.5759,-1924.3405,41.1239,0.0,-4222.124800000001,-1883.2166,-6105.341400000002
35,491.0885,1419.4336,-1100.5897,0.0,0.0,0.0,-1264.9087,-16213.2483,627.546,11763.4983,-1886.6012,40.5958,0.0,-4277.180299999998,-1846.0054,-6123.185699999998
36,482.0922,1425.186,-1109.1875,0.0,0.0,0.0,-1260.9061,-16123.5682,609.0339,11748.4919,-1911.7523,40.9424,0.0,-4228.8578,-1870.8099000000002,-6099.6677
37,553.3414,1413.8651,-1099.8728,0.0,0.0,0.0,-1262.6492,-16163.4858,606.902,11757.6062,-1879.2848,40.7926,0.0,-4194.293099999999,-1838.4922,-6032.785299999999
38,513.4829,1418.0383,-1113.4754,0.0,0.0,0.0,-1287.3006,-16102.9712,594.9362,11797.1446,-1975.0106,41.4289,0.0,-4180.145199999999,-1933.5817000000002,-6113.726899999999
39,516.9876,1504.3129,-1095.367,0.0,0.0,0.0,-1283.0856,-16101.3271,618.8683,11718.2972,-1923.9158,40.4077,0.0,-4121.313700000001,-1883.5081,-6004.821800000001
40,509.5938,1392.7699,-1098.6739,0.0,0.0,0.0,-1273.9956,-16190.0468,621.1176,11786.9577,-1898.7028,39.8361,0.0,-4252.277299999998,-1858.8667,-6111.1439999999975
41,472.5796,1427.9659,-1094.9049,0.0,0.0,0.0,-1295.6315,-16237.9013,620.3726,11796.8098,-1842.0656,39.8649,0.0,-4310.709799999997,-1802.2006999999999,-6112.910499999997
42,502.6524,1412.8044,-1119.2689,0.0,0.0,0.0,-1239.9842,-16273.0235,600.4467,11770.2691,-1850.5898,39.6987,0.0,-4346.104000000001,-1810.8911,-6156.995100000001
43,514.5516,1419.9405,-1108.3353,0.0,0.0,0.0,-1267.4678,-16117.1926,608.214,11798.5008,-1944.8988,40.1166,0.0,-4151.7888,-1904.7821999999999,-6056.571
44,494.4021,1402.8681,-1101.1267,0.0,0.0,0.0,-1269.5563,-16206.0953,619.1642,11808.2032,-1921.283,39.6907,0.0,-4252.1407,-1881.5922999999998,-6133.732999999999
45,543.6575,1416.6321,-1126.0569,0.0,0.0,0.0,-1251.3257,-16196.392,613.7092,11723.0138,-1838.626,40.1178,0.0,-4276.762000000001,-1798.5082,-6075.270200000001
46,497.6257,1426.9351,-1120.7975,0.0,0.0,0.0,-1312.1472,-16193.2649,610.191,11771.0414,-1841.3199,39.4447,0.0,-4320.416399999998,-1801.8752,-6122.291599999999
47,540.6329,1479.6931,-1105.4803,0.0,0.0,0.0,-1272.2674,-16210.5564,599.7137,11715.6597,-1813.4832,40.1107,0.0,-4252.6047,-1773.3725,-6025.977199999999
48,526.8214,1438.8236,-1130.725,0.0,0.0,0.0,-1281.1629,-16134.5748,614.7097,11777.6099,-1967.2608,39.8865,0.0,-4188.498100000001,-1927.3743,-6115.872400000001
49,524.5576,1435.1558,-1100.0443,0.0,0.0,0.0,-1265.1382,-16169.9052,611.867,11754.5337,-1899.5564,40.5015,0.0,-4208.973599999999,-1859.0548999999999,-6068.0284999999985
50,495.3426,1423.4567,-1127.227,0.0,0.0,0.0,-1275.8562,-16214.2529,614.5143,11760.623,-1908.0866,40.0838,0.0,-4323.399499999998,-1868.0028000000002,-6191.402299999998
51,528.6859,1477.5583,-1088.2263,0.0,0.0,0.0,-1294.9805,-16433.8934,609.1887,11774.1962,-1699.6995,38.5661,0.0,-4427.471099999999,-1661.1334,-6088.604499999999
