CHI1	CHI2
167.83689218513652	-95.68356977487409
169.90172651495124	-100.68417922978328
171.31853375127304	81.18124078756358
171.5594183413878	81.0849035453477
171.98508056549227	81.0992065471067
171.52093362716576	81.2308482066959
-89.85383946942946	32.14831906189683
-76.10821395370596	80.4701421632394
-166.00435817563897	83.38356313877026
62.886034716304984	73.31402436380947
-79.2090534224607	-97.39546856748669
170.24186671391067	70.46467486019388
69.99038972600331	83.87137547886371
-170.96550458206593	80.85376024588192
66.99861801237891	106.38629347287667
