CHI1	CHI2
64.52483998822443	94.25542627382387
171.40958582314306	-96.5463195756624
-74.18430458339444	97.67965677784163
70.26796403184993	95.67388267946909
-66.58192345860854	100.35642764070543
167.90507217103416	-86.42402199162126
-67.78992572062899	96.48388566839742
68.18062526486788	87.36131239838647
169.9803841366352	-91.91055803289268
-71.30482199260987	96.15986031509911
71.18769882426804	94.05649031837426
-68.97639861982692	98.91087531977209
-159.33534634576583	83.70287814061629
-70.44751534810851	97.94818161189403
76.03074881823726	79.82573010416115
67.08902967420623	90.16886340336305
54.67235142684288	-89.29740287330247
54.88120854987345	84.19577042848339
-73.82224685117862	93.56712303996991
-67.2469009619862	25.861725047988294
37.95550970815145	87.2183558859145
22.744086203544498	19.58257798763511
-62.86570014503364	24.185716579155955
52.06551635478962	86.46473321275593
-71.86791284481431	91.0272183613441
-62.70571379512916	21.823970376896217
37.62641380482941	88.08813713112166
-70.01085724876165	90.20593919524299
-64.7836062000184	21.519676318661684
