#Frame   pw_nb_121_F_NE1[EVDW] pw_nb_121_F_NE1[EELEC]
     184               -0.0152                 5.6562
     185               -0.0155                 5.6757
     186               -0.0147                 5.6260
     187               -0.0127                 5.4871
     188               -0.0175                 5.7983
     189               -0.0156                 5.6814
     190               -0.0154                 5.6744
     191               -0.0148                 5.6358
     192               -0.0160                 5.7112
     193               -0.0152                 5.6567
     194               -0.0149                 5.6391
     195               -0.0150                 5.6435
     196               -0.0152                 5.6594
     197               -0.0151                 5.6509
     198               -0.0159                 5.7015
     199               -0.0148                 5.6331
     200               -0.0140                 5.5778
     201               -0.0151                 5.6538
     202               -0.0147                 5.6274
     203               -0.0162                 5.7231
     204               -0.0137                 5.5552
     205               -0.0155                 5.6799
     206               -0.0161                 5.7160
     207               -0.0171                 5.7779
     208               -0.0145                 5.6143
     209               -0.0147                 5.6258
     210               -0.0159                 5.7050
     211               -0.0161                 5.7134
     212               -0.0150                 5.6480
     213               -0.0141                 5.5873
     214               -0.0144                 5.6036
     215               -0.0153                 5.6684
     216               -0.0147                 5.6249
     217               -0.0146                 5.6173
     218               -0.0164                 5.7368
     219               -0.0147                 5.6243
     220               -0.0152                 5.6619
     221               -0.0165                 5.7383
     222               -0.0154                 5.6709
     223               -0.0160                 5.7124
     224               -0.0157                 5.6894
     225               -0.0146                 5.6221
     226               -0.0128                 5.4966
     227               -0.0161                 5.7142
     228               -0.0141                 5.5853
     229               -0.0143                 5.5993
     230               -0.0142                 5.5942
     231               -0.0160                 5.7117
     232               -0.0153                 5.6646
     233               -0.0144                 5.6041
     234               -0.0166                 5.7439
     235               -0.0160                 5.7067
     236               -0.0165                 5.7431
     237               -0.0154                 5.6693
     238               -0.0147                 5.6244
     239               -0.0156                 5.6842
     240               -0.0145                 5.6096
     241               -0.0156                 5.6868
     242               -0.0161                 5.7165
     243               -0.0151                 5.6517
     244               -0.0154                 5.6731
     245               -0.0158                 5.6945
     246               -0.0148                 5.6298
     247               -0.0155                 5.6768
     248               -0.0161                 5.7181
     249               -0.0161                 5.7161
     250               -0.0152                 5.6602
     251               -0.0163                 5.7307
     252               -0.0170                 5.7676
     253               -0.0153                 5.6672
     254               -0.0153                 5.6625
     255               -0.0143                 5.5974
     256               -0.0141                 5.5855
     257               -0.0145                 5.6156
     258               -0.0145                 5.6110
     259               -0.0150                 5.6435
     260               -0.0144                 5.6039
     261               -0.0162                 5.7227
     262               -0.0154                 5.6737
     263               -0.0149                 5.6405
     264               -0.0152                 5.6567
     265               -0.0169                 5.7630
     266               -0.0157                 5.6907
     267               -0.0142                 5.5903
     268               -0.0143                 5.6022
     269               -0.0153                 5.6649
     270               -0.0141                 5.5879
     271               -0.0141                 5.5844
     272               -0.0141                 5.5824
     273               -0.0134                 5.5368
     274               -0.0144                 5.6041
     275               -0.0151                 5.6524
     276               -0.0138                 5.5636
     277               -0.0140                 5.5816
     278               -0.0141                 5.5874
     279               -0.0163                 5.7250
     280               -0.0142                 5.5927
     281               -0.0153                 5.6657
     282               -0.0138                 5.5676
     283               -0.0169                 5.7616
     284               -0.0148                 5.6352
     285               -0.0150                 5.6445
     286               -0.0157                 5.6915
     287               -0.0152                 5.6597
     288               -0.0151                 5.6549
     289               -0.0141                 5.5885
     290               -0.0147                 5.6291
     291               -0.0166                 5.7459
     292               -0.0160                 5.7125
     293               -0.0161                 5.7147
     294               -0.0144                 5.6078
     295               -0.0161                 5.7169
     296               -0.0157                 5.6877
     297               -0.0151                 5.6514
     298               -0.0130                 5.5052
     299               -0.0135                 5.5437
     300               -0.0159                 5.7004
     301               -0.0147                 5.6272
     302               -0.0153                 5.6661
     303               -0.0139                 5.5712
     304               -0.0154                 5.6746
     305               -0.0149                 5.6417
     306               -0.0143                 5.6004
     307               -0.0146                 5.6166
     308               -0.0129                 5.5007
     309               -0.0147                 5.6272
     310               -0.0139                 5.5718
     311               -0.0139                 5.5697
     312               -0.0160                 5.7116
     313               -0.0147                 5.6244
     314               -0.0162                 5.7247
     315               -0.0141                 5.5831
     316               -0.0162                 5.7203
     317               -0.0142                 5.5912
     318               -0.0130                 5.5061
     319               -0.0154                 5.6728
     320               -0.0142                 5.5917
     321               -0.0139                 5.5710
     322               -0.0157                 5.6918
     323               -0.0157                 5.6937
     324               -0.0144                 5.6053
     325               -0.0152                 5.6617
     326               -0.0135                 5.5459
     327               -0.0160                 5.7120
     328               -0.0156                 5.6875
     329               -0.0139                 5.5743
     330               -0.0163                 5.7299
     331               -0.0152                 5.6588
     332               -0.0166                 5.7463
     333               -0.0150                 5.6466
     334               -0.0158                 5.6956
     335               -0.0156                 5.6854
     336               -0.0140                 5.5781
     337               -0.0145                 5.6132
     338               -0.0149                 5.6417
     339               -0.0144                 5.6084
     340               -0.0152                 5.6559
     341               -0.0155                 5.6775
     342               -0.0152                 5.6564
     343               -0.0146                 5.6167
     344               -0.0143                 5.5988
     345               -0.0132                 5.5217
     346               -0.0151                 5.6543
     347               -0.0155                 5.6790
     348               -0.0148                 5.6312
     349               -0.0142                 5.5943
     350               -0.0153                 5.6668
     351               -0.0150                 5.6451
     352               -0.0160                 5.7102
     353               -0.0154                 5.6697
     354               -0.0168                 5.7596
     355               -0.0145                 5.6113
     356               -0.0158                 5.6995
     357               -0.0154                 5.6694
     358               -0.0163                 5.7269
     359               -0.0147                 5.6255
     360               -0.0164                 5.7354
     361               -0.0140                 5.5761
     362               -0.0141                 5.5867
     363               -0.0144                 5.6052
     364               -0.0138                 5.5633
     365               -0.0126                 5.4805
     366               -0.0154                 5.6719
     367               -0.0164                 5.7329
     368               -0.0145                 5.6132
     369               -0.0161                 5.7132
