GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
44,508.8111,1372.6683,-1100.7367,0.0,0.0,0.0,-1298.3345,-16172.5967,609.3917,11818.6245,-2032.4025,55.30593888,-4262.1723,-1977.09656112,-6239.26886112
45,564.7854,1376.1236,-1121.6208,0.0,0.0,0.0,-1286.939,-16169.282,611.0036,11754.7767,-2030.2966,55.49137056,-4271.152499999998,-1974.80522944,-6245.957729439998
46,502.648,1431.4483,-1067.6232,0.0,0.0,0.0,-1266.6366,-16119.4751,615.6112,11854.2202,-2144.2386,58.5103428,-4049.8071999999993,-2085.7282572,-6135.5354572
47,481.2581,1439.7479,-1106.8417,0.0,0.0,0.0,-1273.4209,-16132.7366,623.326,11850.2006,-2168.2272,57.205705679999994,-4118.4666,-2111.02149432,-6229.488094319999
48,495.845,1406.6164,-1080.8991,0.0,0.0,0.0,-1270.0774,-16125.2017,602.8115,11771.5698,-2085.2112,57.54694608,-4199.335499999999,-2027.6642539200002,-6226.999753919999
49,519.3774,1418.1468,-1068.5885,0.0,0.0,0.0,-1284.2054,-16096.6438,618.1577,11840.5143,-2189.4552,57.476105999999994,-4053.2414999999983,-2131.979094,-6185.2205939999985
50,486.4609,1441.7235,-1089.9392,0.0,0.0,0.0,-1259.1999,-16060.6091,626.5038,11845.6828,-2212.7559,58.6649592,-4009.377199999999,-2154.0909408,-6163.468140799999
51,502.9062,1417.9731,-1048.852,0.0,0.0,0.0,-1295.0565,-16182.1896,618.8601,11782.2015,-2081.2389,57.48502464,-4204.1572,-2023.75387536,-6227.91107536
52,488.1967,1415.8484,-1083.516,0.0,0.0,0.0,-1302.6094,-16252.2985,614.7871,11883.7748,-2062.1299,56.24266752,-4235.816900000003,-2005.88723248,-6241.704132480003
53,502.7094,1402.6206,-1107.1524,0.0,0.0,0.0,-1264.4853,-16266.3304,626.983,11852.1525,-2011.4398,56.54264472,-4253.5026,-1954.89715528,-6208.39975528
54,477.4868,1451.1872,-1096.3649,0.0,0.0,0.0,-1312.6628,-16241.6926,628.561,11822.4558,-1993.1012,55.455127919999995,-4271.029500000002,-1937.64607208,-6208.675572080003
55,537.533,1401.4096,-1093.0059,0.0,0.0,0.0,-1292.2645,-16146.0404,631.1046,11866.1081,-2137.6229,57.14549424,-4095.1555000000008,-2080.47740576,-6175.632905760001
56,493.3169,1415.197,-1121.6644,0.0,0.0,0.0,-1267.4292,-16097.1282,618.7232,11835.2631,-2147.7151,57.4274376,-4123.721599999997,-2090.2876624,-6214.009262399996
57,539.7906,1435.679,-1120.7144,0.0,0.0,0.0,-1290.8102,-16088.3867,603.1076,11820.2605,-2157.3497,56.92173984,-4101.0736,-2100.42796016,-6201.501560160001
58,508.7873,1390.4294,-1088.064,0.0,0.0,0.0,-1276.5725,-16218.0197,621.2843,11828.0776,-2090.5079,57.16895256,-4234.0776000000005,-2033.33894744,-6267.416547440001
59,519.679,1398.9607,-1101.643,0.0,0.0,0.0,-1295.5817,-16015.5782,614.4209,11730.4137,-2154.7671,57.09410064,-4149.328600000001,-2097.67299936,-6247.001599360001
60,518.9876,1448.6824,-1100.0194,0.0,0.0,0.0,-1272.9537,-16237.287,597.8221,11772.6986,-2026.9435,54.7527888,-4272.069400000002,-1972.1907112000001,-6244.260111200002
61,495.0518,1390.4926,-1070.4021,0.0,0.0,0.0,-1298.3099,-16310.159,609.321,11829.2315,-1977.7364,54.30245904,-4354.7741000000005,-1923.43394096,-6278.20804096
62,523.9301,1361.2722,-1110.1272,0.0,0.0,0.0,-1271.8995,-16188.2016,603.2358,11855.6006,-2097.9869,58.21547688,-4226.1896000000015,-2039.7714231199998,-6265.961023120001
63,504.6138,1455.442,-1100.4355,0.0,0.0,0.0,-1257.9279,-16187.3473,610.8902,11834.9417,-2102.4927,57.355462079999995,-4139.8229999999985,-2045.1372379199997,-6184.960237919999
64,491.6225,1460.4991,-1093.7603,0.0,0.0,0.0,-1297.8311,-16262.0359,596.9925,11888.2874,-2044.4107,56.69440056,-4216.225800000002,-1987.7162994399998,-6203.9420994400025
65,468.0352,1460.6546,-1111.655,0.0,0.0,0.0,-1297.3023,-16187.0117,626.6017,11815.3287,-2058.4158,55.556582399999996,-4225.348799999998,-2002.8592176000002,-6228.208017599999
66,527.5058,1435.1119,-1112.084,0.0,0.0,0.0,-1250.9561,-16102.4361,609.0121,11740.2013,-2079.9122,56.69185176,-4153.645100000002,-2023.2203482400002,-6176.8654482400025
67,485.4979,1364.7789,-1086.3134,0.0,0.0,0.0,-1332.9091,-16190.9799,589.7056,11884.4623,-2101.6084,54.98631864,-4285.7577,-2046.62208136,-6332.37978136
68,509.3715,1421.9822,-1107.8319,0.0,0.0,0.0,-1258.7816,-16111.8006,623.0802,11770.6049,-2084.8214,59.55920928,-4153.3753000000015,-2025.2621907199998,-6178.637490720002
69,499.4471,1398.1155,-1121.1285,0.0,0.0,0.0,-1285.2936,-16122.7771,610.8722,11807.7433,-2096.662,56.44360656,-4213.021099999998,-2040.2183934399998,-6253.239493439998
70,506.2883,1425.7267,-1088.6166,0.0,0.0,0.0,-1284.7444,-16263.7168,592.6448,11846.6116,-2002.3539,56.206908,-4265.8063999999995,-1946.146992,-6211.953391999999
71,522.4711,1386.1718,-1096.0248,0.0,0.0,0.0,-1263.5872,-16046.2331,608.9138,11784.3275,-2164.8227,57.81013632,-4103.9609,-2107.0125636800003,-6210.97346368
72,484.3827,1407.7419,-1093.1974,0.0,0.0,0.0,-1293.6124,-16088.1676,596.7306,11754.3697,-2104.8007,57.93502392,-4231.7525000000005,-2046.8656760799997,-6278.61817608
73,507.3942,1364.2528,-1100.7381,0.0,0.0,0.0,-1266.9953,-16219.8623,595.701,11831.1556,-2063.8469,56.754640079999994,-4289.0921,-2007.09225992,-6296.18435992
74,527.7912,1395.579,-1055.635,0.0,0.0,0.0,-1284.8635,-16071.3618,590.8114,11820.632,-2185.7971,57.18435048,-4077.046699999999,-2128.61274952,-6205.659449519999
75,528.5318,1439.389,-1076.2565,0.0,0.0,0.0,-1252.3769,-16141.1411,607.4156,11780.4311,-2091.1065,58.14848736,-4114.007,-2032.9580126399999,-6146.965012639999
76,510.2646,1423.5087,-1107.9608,0.0,0.0,0.0,-1266.7196,-15994.1618,616.3146,11806.0743,-2225.118,60.126127919999995,-4012.6799999999985,-2164.99187208,-6177.671872079999
77,512.1893,1383.7936,-1075.073,0.0,0.0,0.0,-1271.0676,-16185.6822,619.9891,11883.4865,-2112.4325,59.01369408,-4132.3642999999975,-2053.41880592,-6185.783105919997
78,494.503,1467.0771,-1118.0839,0.0,0.0,0.0,-1260.5348,-16300.987,605.926,11907.533,-2046.8622,58.48204896,-4204.566600000002,-1988.38015104,-6192.946751040002
79,481.3248,1505.5928,-1099.5444,0.0,0.0,0.0,-1271.5018,-16012.663,620.8414,11776.706,-2176.1525,57.504746159999996,-3999.244200000001,-2118.64775384,-6117.891953840001
80,518.2677,1426.8165,-1096.1951,0.0,0.0,0.0,-1297.8172,-16102.7618,624.6305,11806.0162,-2116.0646,55.63420632,-4121.043200000002,-2060.43039368,-6181.473593680002
81,511.4413,1399.1715,-1097.8338,0.0,0.0,0.0,-1274.3926,-16166.0666,617.2267,11858.9266,-2113.1398,54.830871359999996,-4151.526899999999,-2058.30892864,-6209.835828639999
82,525.0726,1415.976,-1091.6224,0.0,0.0,0.0,-1302.614,-16067.3333,609.9367,11830.2782,-2184.253,55.38965544,-4080.306200000001,-2128.8633445600003,-6209.169544560002
83,509.2529,1457.5757,-1087.2663,0.0,0.0,0.0,-1285.8075,-15959.2374,610.8351,11779.8098,-2255.0947,56.39670863999999,-3974.837699999998,-2198.6979913600003,-6173.535691359998
84,519.1085,1398.2411,-1103.1403,0.0,0.0,0.0,-1283.7385,-16031.8657,608.8564,11817.043,-2187.9317,56.50645752,-4075.495499999999,-2131.42524248,-6206.920742479999
85,475.1939,1411.0181,-1093.786,0.0,0.0,0.0,-1290.5029,-16060.0351,613.2507,11837.8563,-2182.3558,56.0096316,-4107.005000000001,-2126.3461684,-6233.3511684000005
86,480.7905,1478.8784,-1078.7634,0.0,0.0,0.0,-1280.6599,-16095.1868,609.0762,11807.4966,-2154.4129,58.47804432,-4078.368400000001,-2095.9348556799996,-6174.303255680001
87,520.6149,1415.5972,-1090.0778,0.0,0.0,0.0,-1289.2738,-16081.6972,624.542,11848.0575,-2181.5049,58.11088896,-4052.2371999999996,-2123.39401104,-6175.6312110399995
88,471.1986,1428.2324,-1083.4642,0.0,0.0,0.0,-1301.7663,-15976.6976,610.7175,11807.5622,-2239.045,57.9955284,-4044.2173999999995,-2181.0494716000003,-6225.2668716
89,486.2996,1421.0997,-1129.9489,0.0,0.0,0.0,-1282.5766,-16117.0,605.5702,11836.4318,-2150.8671,56.89462536,-4180.124199999998,-2093.9724746399997,-6274.096674639998
90,506.1806,1418.8404,-1072.3448,0.0,0.0,0.0,-1280.3134,-16084.854,596.0639,11793.0272,-2136.8412,57.1013064,-4123.400100000001,-2079.7398936,-6203.139993600001
91,527.1149,1428.0669,-1102.6115,0.0,0.0,0.0,-1279.7875,-16089.2236,609.5995,11799.0077,-2111.2837,57.09097224,-4107.8336,-2054.19272776,-6162.02632776
92,521.7354,1411.2949,-1070.0411,0.0,0.0,0.0,-1252.0819,-16029.9784,607.4548,11838.5431,-2213.0557,58.40303184,-3973.0732000000007,-2154.65266816,-6127.725868160001
93,508.3807,1414.4146,-1105.8427,0.0,0.0,0.0,-1304.0489,-16203.4879,613.3443,11827.3648,-2042.4736,55.822013999999996,-4249.875100000001,-1986.651586,-6236.526686000001
94,500.6454,1447.6085,-1101.8985,0.0,0.0,0.0,-1290.419,-16034.8294,621.1368,11797.5828,-2167.1284,56.33647128,-4060.1733999999997,-2110.79192872,-6170.965328719999
95,550.6172,1385.1649,-1107.1034,0.0,0.0,0.0,-1287.2708,-16114.2161,629.2955,11861.9782,-2155.7766,57.79519488,-4081.5344999999998,-2097.98140512,-6179.51590512
96,539.7677,1432.4101,-1127.3605,0.0,0.0,0.0,-1299.7972,-16052.1558,602.5376,11768.7267,-2130.7408,58.83180336,-4135.8714,-2071.90899664,-6207.78039664
97,532.345,1441.4801,-1094.314,0.0,0.0,0.0,-1270.3967,-16155.4386,600.31,11781.1766,-2062.8807,56.79025848,-4164.837599999999,-2006.0904415200002,-6170.928041519998
98,508.2404,1473.4808,-1082.8854,0.0,0.0,0.0,-1274.9321,-16105.6076,608.1001,11776.3446,-2119.3205,57.407712479999994,-4097.2592,-2061.9127875199997,-6159.171987520001
99,489.1198,1498.0731,-1126.0146,0.0,0.0,0.0,-1280.5724,-16072.6251,599.7958,11803.3657,-2148.2879,58.09549608,-4088.8576999999987,-2090.19240392,-6179.050103919998
100,529.2462,1427.382,-1092.2896,0.0,0.0,0.0,-1263.5651,-16096.1673,601.8685,11785.3969,-2143.5654,59.47999992,-4108.128399999998,-2084.08540008,-6192.213800079997
101,490.782,1391.6852,-1103.498,0.0,0.0,0.0,-1275.7744,-16235.8997,612.77,11803.542,-2027.6978,56.8711512,-4316.392900000001,-1970.8266488,-6287.219548800001
102,484.8083,1441.1367,-1092.8176,0.0,0.0,0.0,-1294.443,-16163.2218,596.4627,11902.0648,-2156.7784,56.24330256,-4126.009900000001,-2100.5350974400003,-6226.544997440001
103,465.5368,1424.9112,-1097.1969,0.0,0.0,0.0,-1272.5186,-16133.2308,597.899,11867.7882,-2183.1612,57.715524,-4146.811099999999,-2125.445676,-6272.256775999999
104,495.3126,1377.7533,-1064.1205,0.0,0.0,0.0,-1275.6148,-16250.4347,589.38,11845.7697,-2053.5191,57.20508792,-4281.9544000000005,-1996.3140120799999,-6278.26841208
105,533.2844,1426.0776,-1090.1118,0.0,0.0,0.0,-1272.366,-16113.8943,607.034,11768.1368,-2128.6062,57.81467952,-4141.8393,-2070.79152048,-6212.63082048
106,509.4561,1424.8412,-1084.3525,0.0,0.0,0.0,-1277.1549,-16024.8992,600.8921,11760.5642,-2196.29,57.424897439999995,-4090.6529999999984,-2138.86510256,-6229.518102559999
107,523.2668,1452.9313,-1109.3261,0.0,0.0,0.0,-1258.3725,-16064.8268,594.8853,11765.165,-2147.3573,59.09048712,-4096.277,-2088.26681288,-6184.54381288
108,503.7973,1359.7288,-1110.2425,0.0,0.0,0.0,-1283.5714,-16323.916,622.9563,11931.3843,-2045.9643,57.52544904,-4299.8632,-1988.43885096,-6288.302050959999
109,521.6308,1406.9939,-1053.3977,0.0,0.0,0.0,-1291.3713,-16202.4013,592.5642,11846.4407,-2061.3081,56.48499144,-4179.540700000001,-2004.8231085600003,-6184.363808560001
110,501.6734,1408.2607,-1091.5346,0.0,0.0,0.0,-1289.8538,-16154.6212,618.5923,11846.5462,-2093.9451,57.30949512,-4160.936999999998,-2036.6356048799998,-6197.572604879998
111,518.5249,1437.4388,-1110.6426,0.0,0.0,0.0,-1266.7296,-16192.5241,595.2399,11793.7555,-2030.8235,57.52891224,-4224.9372,-1973.29458776,-6198.231787760001
112,533.2864,1423.7591,-1061.243,0.0,0.0,0.0,-1283.8647,-16282.1135,607.0823,11795.5648,-1958.6227,56.31190272,-4267.5286,-1902.3107972799999,-6169.8393972799995
113,534.8676,1415.2382,-1135.0281,0.0,0.0,0.0,-1255.5129,-16100.3608,612.4805,11827.6357,-2147.7306,58.74637248,-4100.679800000002,-2088.98422752,-6189.664027520002
114,497.4181,1441.4008,-1085.4225,0.0,0.0,0.0,-1257.7224,-16119.6409,598.0765,11852.4844,-2153.7661,58.123719359999996,-4073.406000000001,-2095.64238064,-6169.048380640001
115,512.5232,1415.2056,-1104.2639,0.0,0.0,0.0,-1268.4642,-16042.4617,608.4652,11827.0935,-2186.1499,57.7595988,-4051.902299999998,-2128.3903012,-6180.292601199998
116,500.5976,1454.5576,-1092.25,0.0,0.0,0.0,-1269.2561,-16133.4085,619.7549,11785.7057,-2078.8746,58.498326,-4134.298799999999,-2020.3762740000002,-6154.675073999999
117,520.9332,1419.7754,-1091.3878,0.0,0.0,0.0,-1264.7269,-16109.6002,621.2953,11800.8101,-2099.0747,59.380552079999994,-4102.900900000001,-2039.6941479200002,-6142.595047920001
118,534.7832,1478.5702,-1087.6783,0.0,0.0,0.0,-1286.831,-15983.4716,585.7432,11730.558,-2160.5434,58.6756728,-4028.326299999999,-2101.8677272,-6130.194027199999
119,510.3577,1435.1174,-1093.9552,0.0,0.0,0.0,-1276.1762,-16027.7841,604.7155,11715.7403,-2118.699,59.747194799999995,-4131.9846,-2058.9518052,-6190.9364052
120,505.9427,1422.9126,-1077.9628,0.0,0.0,0.0,-1256.875,-16080.1857,620.8026,11832.8752,-2146.913,59.002074719999996,-4032.4904000000006,-2087.91092528,-6120.401325280001
121,522.6742,1500.8005,-1069.6344,0.0,0.0,0.0,-1238.5244,-15856.0273,593.6798,11684.3513,-2267.3491,60.439505759999996,-3862.6803,-2206.90959424,-6069.589894239999
122,499.7189,1451.1469,-1068.2126,0.0,0.0,0.0,-1280.6738,-15988.8499,603.426,11834.6251,-2232.5549,58.731842879999995,-3948.819400000002,-2173.82305712,-6122.642457120002
123,545.7957,1419.2983,-1081.0769,0.0,0.0,0.0,-1277.7753,-16030.3848,613.2226,11822.079,-2175.6585,60.4301436,-3988.8413999999993,-2115.2283564,-6104.069756399999
124,489.2926,1387.4241,-1069.8463,0.0,0.0,0.0,-1268.2864,-16035.6295,613.0378,11812.7791,-2173.3253,59.61974544,-4071.2286000000004,-2113.70555456,-6184.934154560001
125,503.5473,1421.9166,-1108.3079,0.0,0.0,0.0,-1285.6548,-16033.4683,582.542,11816.7594,-2157.1087,58.63118976,-4102.665700000001,-2098.4775102400004,-6201.143210240002
126,514.8577,1441.748,-1105.7324,0.0,0.0,0.0,-1239.3564,-16139.6898,598.2794,11765.6252,-2077.1121,60.112131839999996,-4164.268300000002,-2016.9999681599998,-6181.268268160002
127,482.699,1413.2507,-1092.3755,0.0,0.0,0.0,-1260.0488,-16180.9676,622.4278,11828.4944,-2058.158,59.27947704,-4186.520000000002,-1998.8785229599998,-6185.398522960002
128,479.4581,1409.6795,-1071.5668,0.0,0.0,0.0,-1282.6479,-16076.8888,616.4294,11758.3908,-2092.8033,56.159652959999995,-4167.145699999999,-2036.6436470400001,-6203.789347039999
129,514.9099,1403.2803,-1091.8751,0.0,0.0,0.0,-1269.4354,-16024.4606,612.0021,11824.348,-2206.682,58.04725824,-4031.230800000001,-2148.63474176,-6179.865541760001
130,492.8984,1362.8664,-1061.1334,0.0,0.0,0.0,-1294.0735,-16110.7997,610.3662,11803.4929,-2089.7655,58.01874984,-4196.3827,-2031.74675016,-6228.12945016
131,512.5385,1421.7014,-1119.7962,0.0,0.0,0.0,-1245.4467,-16206.8084,598.8354,11807.2768,-2053.926,57.93748488,-4231.699199999999,-1995.9885151199999,-6227.687715119999
132,488.3659,1398.9113,-1072.2231,0.0,0.0,0.0,-1268.2603,-16221.593,608.421,11829.1223,-2050.9616,58.05643608,-4237.2559,-1992.9051639200002,-6230.161063920001
133,528.6881,1450.2827,-1105.4058,0.0,0.0,0.0,-1261.3969,-16191.9483,608.4256,11829.6681,-2073.2141,58.9789368,-4141.6865,-2014.2351632000002,-6155.9216632
134,512.2369,1391.6126,-1108.1896,0.0,0.0,0.0,-1279.3592,-16104.8596,615.7228,11814.4127,-2123.8733,58.9069404,-4158.4234,-2064.9663596,-6223.3897596
135,501.5388,1402.0851,-1091.0263,0.0,0.0,0.0,-1299.3547,-15999.9133,610.6786,11824.8587,-2256.294,59.10240528,-4051.133099999999,-2197.19159472,-6248.324694719999
136,501.2973,1404.0221,-1106.0345,0.0,0.0,0.0,-1290.5168,-16111.749,607.8709,11832.205,-2125.6126,57.07110024,-4162.904999999999,-2068.54149976,-6231.446499759999
137,506.8252,1484.6557,-1076.6828,0.0,0.0,0.0,-1285.5895,-16165.8396,604.6572,11827.7147,-2116.035,57.07450728,-4104.259100000001,-2058.96049272,-6163.219592720001
138,493.9682,1422.206,-1104.927,0.0,0.0,0.0,-1277.3497,-16078.5831,619.9581,11853.9687,-2162.7032,57.81253968,-4070.7588000000014,-2104.89066032,-6175.649460320002
139,505.5862,1410.8085,-1108.4323,0.0,0.0,0.0,-1291.8715,-16142.2948,585.6789,11829.7995,-2094.5309,56.58221376,-4210.7255000000005,-2037.9486862400001,-6248.67418624
140,486.4927,1425.582,-1102.7754,0.0,0.0,0.0,-1265.99,-16197.3848,611.2622,11817.1209,-2071.1113,58.61538936,-4225.6924,-2012.49591064,-6238.18831064
141,521.3223,1447.3856,-1100.5956,0.0,0.0,0.0,-1277.8281,-16249.867,594.1345,11827.1266,-2037.6768,57.338596800000005,-4238.3217,-1980.3382032,-6218.6599032
142,485.7931,1371.5784,-1063.5272,0.0,0.0,0.0,-1253.2408,-16168.6719,610.6139,11874.3351,-2139.2997,59.09763528,-4143.1194,-2080.20206472,-6223.321464719999
143,518.1449,1374.579,-1098.2772,0.0,0.0,0.0,-1272.7028,-16186.4101,624.5194,11913.8974,-2131.3264,57.72603888,-4126.249400000001,-2073.60036112,-6199.849761120001
